"year","week","date","unit","recent","origin","value"
"2021","24","2021-06-09","adm","rall","och","5341"
"2021","25","2021-06-16","adm","rall","och","5823"
"2021","26","2021-06-23","adm","rall","och","4931"
"2021","27","2021-06-30","adm","rall","och","3679"
"2021","28","2021-07-07","adm","rall","och","2505"
"2021","29","2021-07-14","adm","rall","och","2084"
"2021","30","2021-07-21","adm","rall","och","1167"
"2021","31","2021-07-28","adm","rall","och","1313"
"2021","32","2021-08-04","adm","rall","och","1013"
"2021","33","2021-08-11","adm","rall","och","2083"
"2021","34","2021-08-18","adm","rall","och","3174"
"2021","35","2021-08-25","adm","rall","och","8881"
"2021","36","2021-09-01","adm","rall","och","7400"
"2021","37","2021-09-08","adm","rall","och","7109"
"2021","38","2021-09-15","adm","rall","och","7597"
"2021","39","2021-09-22","adm","rall","och","4443"
"2021","40","2021-09-29","adm","rall","och","4148"
"2021","41","2021-10-06","adm","rall","och","5362"
"2021","42","2021-10-13","adm","rall","och","3188"
"2021","43","2021-10-20","adm","rall","och","6842"
"2021","44","2021-10-27","adm","rall","och","18462"
"2021","45","2021-11-03","adm","rall","och","16669"
"2021","46","2021-11-10","adm","rall","och","14350"
"2021","47","2021-11-17","adm","rall","och","15117"
"2021","48","2021-11-24","adm","rall","och","17714"
"2021","49","2021-12-01","adm","rall","och","10739"
"2021","50","2021-12-08","adm","rall","och","6894"
"2021","51","2021-12-15","adm","rall","och","4487"
"2021","52","2021-12-22","adm","rall","och","3924"
"2022","1","2021-12-29","adm","rall","och","2496"
"2022","2","2022-01-05","adm","rall","och","3805"
"2022","3","2022-01-12","adm","rall","och","3492"
"2022","4","2022-01-19","adm","rall","och","3789"
"2022","5","2022-01-26","adm","rall","och","6522"
"2022","6","2022-02-02","adm","rall","och","6495"
"2022","7","2022-02-09","adm","rall","och","5975"
"2022","8","2022-02-16","adm","rall","och","9355"
"2022","9","2022-02-23","adm","rall","och","9972"
"2022","10","2022-03-02","adm","rall","och","10902"
"2022","11","2022-03-09","adm","rall","och","15892"
"2022","12","2022-03-16","adm","rall","och","14952"
"2022","13","2022-03-23","adm","rall","och","12439"
"2022","14","2022-03-30","adm","rall","och","13930"
"2022","15","2022-04-06","adm","rall","och","9717"
"2022","16","2022-04-13","adm","rall","och","5252"
"2022","17","2022-04-20","adm","rall","och","6841"
"2022","18","2022-04-27","adm","rall","och","6610"
"2022","19","2022-05-04","adm","rall","och","8404"
"2022","20","2022-05-11","adm","rall","och","7098"
"2022","21","2022-05-18","adm","rall","och","6413"
"2022","22","2022-05-25","adm","rall","och","5253"
"2022","23","2022-06-01","adm","rall","och","6139"
"2022","24","2022-06-08","adm","rall","och","3337"
"2022","25","2022-06-15","adm","rall","och","3047"
"2022","26","2022-06-22","adm","rall","och","2622"
"2022","27","2022-06-29","adm","rall","och","2137"
"2022","28","2022-07-06","adm","rall","och","1289"
"2022","29","2022-07-13","adm","rall","och","704"
"2022","30","2022-07-20","adm","rall","och","840"
"2022","31","2022-07-27","adm","rall","och","715"
"2022","32","2022-08-03","adm","rall","och","517"
"2022","33","2022-08-10","adm","rall","och","339"
"2022","34","2022-08-17","adm","rall","och","1748"
"2022","35","2022-08-24","adm","rall","och","3397"
"2022","36","2022-08-31","adm","rall","och","8949"
"2022","37","2022-09-07","adm","rall","och","6778"
"2022","38","2022-09-14","adm","rall","och","9420"
"2022","39","2022-09-21","adm","rall","och","11295"
"2022","40","2022-09-28","adm","rall","och","9640"
"2022","41","2022-10-05","adm","rall","och","5775"
